Review_ID,Product,Rating,Review_Text,Date,Helpful_Count
1,Laptop,5,Excellent performance and battery life,2024-01-10,45
2,Mouse,4,Good value for money,2024-01-11,23
3,Desk Chair,5,Very comfortable for long hours,2024-01-12,67
4,Monitor,3,Good but colors could be better,2024-01-13,12
5,Notebook,5,Perfect for daily notes,2024-01-14,8
6,Keyboard,4,Nice tactile feedback,2024-01-15,34
7,Desk Lamp,5,Bright and adjustable,2024-01-16,19
8,Laptop,4,Fast but runs a bit hot,2024-01-17,56
9,Pen Set,5,Smooth writing experience,2024-01-18,15
10,Office Chair,5,Best purchase this year,2024-01-19,89
11,Headphones,4,Great sound quality,2024-01-20,41
12,Desk,5,Sturdy and spacious,2024-01-21,72
13,Mouse Pad,3,Decent but nothing special,2024-01-22,7
14,Monitor,5,Amazing display quality,2024-01-23,95
15,Stapler,4,Works well and durable,2024-01-24,11
16,Laptop,5,Perfect for programming,2024-01-25,103
17,Webcam,4,Clear video in good lighting,2024-01-26,28
18,Desk Chair,4,Comfortable but assembly was hard,2024-01-27,33
19,Notebook,5,High quality paper,2024-01-28,9
20,Keyboard,5,Love the mechanical switches,2024-01-29,61
21,Monitor,4,Good for the price,2024-01-30,38
22,Pen Set,4,Nice variety of colors,2024-01-31,14
23,Laptop,3,Battery life disappointing,2024-02-01,22
24,Mouse,5,Ergonomic and precise,2024-02-02,47
25,Desk Lamp,4,Bright enough for reading,2024-02-03,16
